Solana Address,Transaction Quantity,Quantity of Coins Held
CMfBovCEj8zQgZDSc8iQYYP9r8JMFsnTKED1W55d9ghy,2,0
FksffEqnBRixYGR791Qw2MgdU7zNCpHVFYBL4Fa4qVuH,2,0
8p1VKP45hhqq5iZG5fNGoi7ucme8nFLeChoDWNy7rWFm,2,13770.501821684
FERjPVNEa7Udq8CEv68h6tPL46Tq7ieE49HrE2wea3XT,2,0
EYMwW3Y7k37G9e3Hfks7KCFv8r5Sict7fBCYLz3vvusQ,2,0
7imnGYfCovXjMWKdbQvETFVMe72MQDX4S5zW4GFxMJME,2,0
HZsTF6VHdQy2W6cfEEqqpoTFKocx7Ch5c4TnWucXkAYv,2,159.809281739
AvGeFw71N5sNfV97mZ1uNrHg4yfufRicCJUrS9j2ehTX,2,0
KingD7tvr7XRdbnJyKUhH8QfcR1bY6M4xtdEwaEL5og,3,0.214495078
BedAip9o3VW4Qd4HSbh39La9QrCEhXw3j4djdAde5UEK,3,0.46106767
y23RmrqysEDtAL2MaN81vSoTQu7kCGLE2sCz9XaZBup,3,0.000002424
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,3,0.000012755
2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,4,0
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,4,602.007498872
4uWuh9fC7rrZKrN8ZdJf69MN1e2S7FPpMqcsyY1aof6K,4,0
CAPhoEse9xEH95XmdnJjYrZdNCA8xfUWdy3aWymHa1Vj,4,0
BQ72nSv9f3PRyRKCBnHLVrerrv37CYTHm5h3s9VSGQDV,4,0.000006574
2NjYrAWmiNE4dRRB8am4p8mWcvBDg22aGB9AfQoU9RRJ,4,50.157087267
6jZQFLhSAzTYfo33MSQYvwKvZYwxat8kUa29Mz63oHN9,4,179.520257244
DtYKbQELgMZ3ihFUrCcCs9gy4djcUuhwgR7UpxVpP2Tg,4,0
4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,4,0.000015563
b23Ke4utbwr1WcY8onbybJbNQghkNs7RrEC9f69VbJW,5,0.000009282
2fWyMU2S5ZJMwq9Ay2bwvnfRfiugkJbjWZ8WqKMtD8my,6,0.002033069
GNfeVT5vSWgLYtzveexZJ2Ki9NBtTTzoHAd9oGvoJKW8,6,1571.143730069
DB3sUCP2H4icbeKmK6yb6nUxU5ogbcRHtGuq7W2RoRwW,6,0
3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,6,5.25e-7
HWnWnLvBzvSmXH5hnHJCFmuQbDTsX3Ba2w9CPE5zf4YD,6,0
1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,7,0.000002721
2qwiCSJJuDz3AX39LvgSGhPKoWeTSBAJvqzNwYNQAavj,9,0.000008508
